Active_Site	Cluster

'81563'	0.000000

'23760'	0.000000

'83741'	0.000000

'98170'	0.000000

'53272'	0.000000

'4629'	0.000000

'84035'	0.000000

'49624'	0.000000

'94719'	0.000000

'17526'	0.000000

'29047'	0.000000

'38181'	0.000000

'26246'	0.000000

'23812'	0.000000

'32088'	0.000000

'57481'	0.000000

'32054'	0.000000

'18773'	0.000000

'73183'	0.000000

'63703'	0.000000

'20856'	0.000000

'57370'	0.000000

'7780'	0.000000

'3733'	0.000000

'97218'	0.000000

'10701'	0.000000

'39939'	0.000000

'7674'	0.000000

'40084'	0.000000

'28672'	0.000000

'85232'	0.000000

'52235'	0.000000

'45127'	0.000000

'26095'	0.000000

'27031'	0.000000

'34563'	0.000000

'41719'	0.000000

'94372'	0.000000

'8304'	0.000000

'36257'	0.000000

'29773'	0.000000

'17622'	0.000000

'22711'	0.000000

'25551'	0.000000

'97612'	0.000000

'82886'	0.000000

'38472'	0.000000

'82993'	0.000000

'88042'	0.000000

'61242'	0.000000

'57602'	0.000000

'73624'	0.000000

'15813'	0.000000

'3458'	0.000000

'72058'	0.000000

'27312'	0.000000

'58445'	0.000000

'46975'	0.000000

'38846'	0.000000

'28919'	0.000000

'82212'	0.000000

'65815'	0.000000

'9776'	0.000000

'70919'	0.000000

'81697'	0.000000

'42074'	0.000000

'19267'	0.000000

'91426'	0.000000

'64392'	0.000000

'91796'	0.000000

'6040'	0.000000

'14181'	0.000000

'63634'	0.000000

'24634'	0.000000

'50018'	0.000000

'47023'	0.000000

'42633'	0.000000

'64258'	0.000000

'38031'	0.000000

'42296'	0.000000

'42269'	0.000000

'55996'	0.000000

'63064'	0.000000

'37237'	0.000000

'46042'	0.000000

'46495'	0.000000

'81859'	0.000000

'91194'	0.000000

'52954'	0.000000

'34958'	0.000000

'57644'	0.000000

'20326'	0.000000

'93168'	0.000000

'54203'	0.000000

'94652'	0.000000

'56394'	0.000000

'62186'	0.000000

'56029'	0.000000

'39299'	0.000000

'43878'	0.000000

'35014'	0.000000

'78796'	0.000000

'81816'	0.000000

'29209'	0.000000

'23319'	0.000000

'276'	0.000000

'1806'	0.000000

'83227'	0.000000

'83394'	0.000000

'33838'	0.000000

'41729'	0.000000

'73462'	0.000000

'24307'	0.000000

'39117'	0.000000

'25878'	0.000000

'68578'	0.000000

'93192'	0.000000

'98797'	0.000000

'42202'	0.000000

'37438'	0.000000

'69893'	0.000000

'34047'	0.000000

'85492'	0.000000

'25196'	0.000000

'8208'	0.000000

'50362'	0.000000

'34088'	0.000000

'70005'	0.000000

'91911'	0.000000

'93456'	0.000000

'71389'	1.000000

'13052'	1.000000

'82238'	1.000000

'96099'	1.000000

'10814'	2.000000

'37224'	2.000000

